epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1832,3.09552,5.62639,1.88098,0.00333,1,0.00562,0.00281,1.79796,4.65592,1.46672,4e-05,4e-05,4e-05
2,19.142,2.68817,4.87863,1.64287,0.00333,1,0.00582,0.00233,1.90214,4.65145,1.36152,9.802e-05,9.802e-05,9.802e-05
3,28.4221,2.12948,4.44354,1.43792,0.00333,1,0.00642,0.00257,1.96649,4.5927,1.20371,0.000153664,0.000153664,0.000153664
4,38.2372,2.10481,3.64146,1.31356,0.00333,1,0.00771,0.00463,1.59579,4.56941,1.12213,0.000206932,0.000206932,0.000206932
5,47.4989,1.87965,2.97602,1.15219,0.00333,1,0.00921,0.00737,0.87386,4.33652,1.06966,0.000257824,0.000257824,0.000257824
6,57.0336,1.95395,2.93888,1.38752,0.00333,1,0.00836,0.00585,1.11139,4.47447,1.10307,0.00030634,0.00030634,0.00030634
7,66.2801,2.08013,2.47591,1.23583,0.00333,1,0.00843,0.00253,1.57295,4.54964,1.15161,0.00035248,0.00035248,0.00035248
8,75.2916,1.85503,2.84608,1.19658,0.00333,1,0.00873,0.00175,1.52102,4.58023,1.13586,0.000396244,0.000396244,0.000396244
9,84.7431,1.85154,2.3917,1.20131,0.00333,1,0.00816,0.00163,1.32786,4.59055,1.09879,0.000437632,0.000437632,0.000437632
10,94.0226,1.75028,2.41913,1.25152,0.00333,1,0.00771,0.00077,1.10088,4.44806,1.05828,0.000476644,0.000476644,0.000476644
11,103.067,1.71495,2.00267,1.13594,0.00333,1,0.00696,0.00417,1.01875,4.46916,1.03039,0.00051328,0.00051328,0.00051328
12,112.09,1.84342,2.22119,1.21642,0.00333,1,0.00716,0.00501,0.95749,4.39988,1.0395,0.00054754,0.00054754,0.00054754
13,121.335,1.76256,2.098,1.22358,0.00333,1,0.00655,0.00458,0.92733,4.37834,1.03381,0.000579424,0.000579424,0.000579424
14,130.764,1.78272,1.84658,1.21622,0.00333,1,0.00638,0.0051,0.87786,4.38462,1.04244,0.000608932,0.000608932,0.000608932
15,140.176,1.6626,1.72397,1.12851,0.00333,1,0.00562,0.00506,0.79715,4.64658,1.04964,0.000636064,0.000636064,0.000636064
16,149.639,1.70752,1.94347,1.19697,0.00333,1,0.00535,0.00428,1.02454,4.43906,1.07606,0.00066082,0.00066082,0.00066082
17,159.557,1.67112,1.77559,1.11466,0.00333,1,0.00518,0.00259,1.46159,4.02213,1.23262,0.0006832,0.0006832,0.0006832
18,168.916,1.69765,1.73719,1.15315,0.00333,1,0.00614,0.0043,1.54418,3.92901,1.30174,0.000703204,0.000703204,0.000703204
19,177.951,1.69745,1.73529,1.15548,0.00333,1,0.0085,0.00595,1.39415,3.71192,1.22816,0.000720832,0.000720832,0.000720832
20,186.942,1.62856,1.7059,1.19258,0.00333,1,0.00622,0.00435,1.27755,3.73319,1.16497,0.000736084,0.000736084,0.000736084
21,195.946,1.65219,1.78219,1.16077,0.00333,1,0.00529,0.00318,1.46331,3.83846,1.18212,0.00074896,0.00074896,0.00074896
22,205.184,1.51293,1.55871,1.06675,0.00333,1,0.00497,0.00298,1.61708,3.85546,1.25003,0.00075946,0.00075946,0.00075946
23,214.14,1.5203,1.52739,1.04339,0.00333,1,0.00668,0.00401,1.569,3.77295,1.26286,0.000767584,0.000767584,0.000767584
24,223.068,1.56326,1.67536,1.06783,0.00333,1,0.01658,0.00829,1.62383,3.65533,1.30435,0.000773332,0.000773332,0.000773332
25,232.027,1.51296,1.41965,1.07634,0.00333,1,0.03317,0.01658,1.82327,3.4856,1.39892,0.000776704,0.000776704,0.000776704
26,241.056,1.5795,1.63335,1.14237,0.00333,1,0.995,0.4975,1.95899,3.33184,1.40863,0.0007777,0.0007777,0.0007777
27,250.447,1.49614,1.48164,1.08832,0.00333,1,0.995,0.4975,1.84206,3.13831,1.35795,0.00077632,0.00077632,0.00077632
28,259.693,1.48461,1.42234,1.05493,0.00333,1,0.995,0.597,1.31755,2.7998,1.20698,0.000772564,0.000772564,0.000772564
29,269.252,1.58035,1.55552,1.04787,0.00333,1,0.995,0.597,1.31755,2.7998,1.20698,0.000766432,0.000766432,0.000766432
30,278.518,1.59122,1.75462,1.24859,0.68031,1,0.995,0.6965,1.27002,2.45513,1.19179,0.000757924,0.000757924,0.000757924
31,287.563,1.4042,1.34884,0.97827,0.78427,1,0.995,0.597,1.5486,2.36897,1.20321,0.00074704,0.00074704,0.00074704
32,296.611,1.4475,1.43754,1.10736,0.81577,1,0.995,0.4975,1.57421,2.36563,1.17517,0.00073378,0.00073378,0.00073378
33,305.741,1.38959,1.33428,1.02886,0.81577,1,0.995,0.4975,1.57421,2.36563,1.17517,0.000718144,0.000718144,0.000718144
34,314.822,1.34275,1.19528,1.03177,0.84588,1,0.995,0.597,1.41976,2.26837,1.13236,0.0006932,0.0006932,0.0006932
35,323.928,1.55496,1.65773,1.07364,0.84498,1,0.995,0.6965,1.10712,2.19246,1.10019,0.0006536,0.0006536,0.0006536
36,332.85,1.4038,1.28525,1.03712,0.8599,1,0.995,0.796,1.07048,2.0975,1.11495,0.000614,0.000614,0.000614
37,342.005,1.37769,1.25045,1.04648,0.8599,1,0.995,0.796,1.07048,2.0975,1.11495,0.0005744,0.0005744,0.0005744
38,351.1,1.38884,1.27619,1.04495,0.89781,1,0.995,0.6965,1.13644,1.91625,1.11107,0.0005348,0.0005348,0.0005348
39,360.038,1.38785,1.24246,1.05773,0.9301,1,0.995,0.597,1.32647,1.67898,1.13757,0.0004952,0.0004952,0.0004952
40,369.182,1.21279,1.19502,0.9724,0.93996,1,0.995,0.597,1.5475,1.766,1.19351,0.0004556,0.0004556,0.0004556
41,378.139,1.29098,1.24776,1.06643,0.93996,1,0.995,0.597,1.5475,1.766,1.19351,0.000416,0.000416,0.000416
42,387.167,1.18372,1.39855,1.03692,0.94137,1,0.995,0.49887,1.69873,1.89005,1.24999,0.0003764,0.0003764,0.0003764
43,395.967,1.19437,1.33597,1.02614,0.9433,1,0.995,0.39979,1.6844,2.00088,1.26439,0.0003368,0.0003368,0.0003368
44,405.617,1.25595,1.31292,1.03193,0.94507,1,0.995,0.4975,1.52305,1.91857,1.20436,0.0002972,0.0002972,0.0002972
45,414.233,1.06073,1.27138,1.0248,0.94507,1,0.995,0.4975,1.52305,1.91857,1.20436,0.0002576,0.0002576,0.0002576
46,423.12,1.15716,1.2486,1.07923,0.9471,1,0.995,0.597,1.46214,1.811,1.17522,0.000218,0.000218,0.000218
47,431.929,1.37914,1.58835,1.01509,0.95006,1,0.995,0.4975,1.55427,1.80506,1.1992,0.0001784,0.0001784,0.0001784
48,440.861,1.08917,1.12925,0.99039,0.9522,1,0.995,0.4975,1.61653,1.82464,1.213,0.0001388,0.0001388,0.0001388
49,449.53,1.16898,1.30031,1.02547,0.9522,1,0.995,0.4975,1.61653,1.82464,1.213,9.92e-05,9.92e-05,9.92e-05
50,458.778,1.07539,1.21328,1.00572,0.95482,1,0.995,0.398,1.70033,1.90282,1.24362,5.96e-05,5.96e-05,5.96e-05
