epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.958,2.23013,5.4033,1.41663,0.0608,1,0.4975,0.24875,2.18256,3.38953,1.74752,4e-05,4e-05,4e-05
2,309.262,2.07666,3.12756,1.41269,0.94427,1,0.995,0.597,1.86949,3.14074,1.44711,9.87625e-05,9.87625e-05,9.87625e-05
3,463.01,1.75045,2.70521,1.24208,0.95582,1,0.995,0.597,1.52563,1.59937,1.15399,0.00015604,0.00015604,0.00015604
4,616.493,1.55899,1.81613,1.1863,0.96591,1,0.995,0.6965,1.27002,0.91733,1.13221,0.000211833,0.000211833,0.000211833
5,770.262,1.66157,2.13222,1.25918,0.03359,1,0.03554,0.01841,1.86991,97.6018,1.35048,0.00026614,0.00026614,0.00026614
6,922.96,1.44023,1.67389,1.14531,0.01282,1,0.01292,0.00905,0.99012,411.776,0.93883,0.000318963,0.000318963,0.000318963
7,1074.65,1.55895,1.33876,1.16213,0.00467,1,0.00469,0.00375,1.01141,6927.71,0.96967,0.0003703,0.0003703,0.0003703
8,1228.88,1.43467,1.6433,1.22126,0.0049,1,0.00488,0.00341,1.23158,8088.18,1.10719,0.000420152,0.000420152,0.000420152
9,1381.21,1.53437,1.40415,1.12511,0.00437,1,0.00434,0.00304,1.21709,3232,1.00313,0.00046852,0.00046852,0.00046852
10,1536.51,1.67168,1.31895,1.31883,0.00442,1,0.00452,0.00317,1.25382,2950.6,1.07508,0.000515403,0.000515403,0.000515403
11,1692.32,1.62595,1.33211,1.13828,0.0044,1,0.00438,0.00219,1.75743,3461.81,1.31214,0.0005608,0.0005608,0.0005608
12,1847.29,1.45315,1.2481,1.17639,0.00437,1,0.00469,0.00282,1.40765,905.416,1.25398,0.000604713,0.000604713,0.000604713
13,1999.67,1.56609,1.06779,1.17633,0,0,0,0,3.94804,305601,3.87391,0.00064714,0.00064714,0.00064714
14,2155.09,1.87691,0.94722,1.38796,0,0,0,0,0.00031,207488,0.00069,0.000688083,0.000688083,0.000688083
